funcModuleId,strucModuleId,faceIdsOfOverlap_1,faceIdsOfOverlap_2,faceIdsOfOverlap_3,faceIdsOfOverlap_4,faceIdsOfOverlap_5,faceIdsOfOverlap_6,faceIdsOfOverlap_7,faceIdsOfOverlap_8,faceIdsOfOverlap_9,faceIdsOfOverlap_10,faceIdsOfOverlap_11,faceIdsOfOverlap_12,faceIdsOfOverlap_13,faceIdsOfOverlap_14,faceIdsOfOverlap_15,faceIdsOfOverlap_16,faceIdsOfOverlap_17,faceIdsOfOverlap_18,faceIdsOfOverlap_19,faceIdsOfOverlap_20,faceIdsOfOverlap_21,faceIdsOfOverlap_22,faceIdsOfOverlap_23,faceIdsOfOverlap_24,faceIdsOfOverlap_25,faceIdsOfOverlap_26,faceIdsOfOverlap_27,faceIdsOfOverlap_28,faceIdsOfOverlap_29,faceIdsOfOverlap_30,faceIdsOfOverlap_31,faceIdsOfOverlap_32,faceIdsOfOverlap_33,faceIdsOfOverlap_34,faceIdsOfOverlap_35,faceIdsOfOverlap_36,faceIdsOfOverlap_37,faceIdsOfOverlap_38,faceIdsOfOverlap_39,faceIdsOfOverlap_40,faceIdsOfOverlap_41,faceIdsOfOverlap_42,faceIdsOfOverlap_43,faceIdsOfOverlap_44,faceIdsOfOverlap_45,faceIdsOfOverlap_46,faceIdsOfOverlap_47,overlapArea,areaOverlapAsPercentOfFunc,areaOverlapAsPercentOfStruc
7,5,19696,19854,19855,19899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.4663373915301,1,0.0217959942602996
8,1,19436,19472,20068,20438,20516,20727,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.9620985825873,1,0.0956571665614234
9,5,19434,19441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9636501218093,1,0.00641538176216563
10,1,19996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.63874159512261,0.0132098262080235,0.0151585322041329
10,4,20683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.91817074484208,0.0214849021193379,0.0050580693363628
10,5,19383,19466,19539,19849,19878,19879,19880,19898,19918,20050,20450,20904,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39.0048710441474,0.141600483103883,0.0631314900766323
10,6,19360,19459,19477,19490,19493,19499,19553,19569,19896,19897,19915,19931,19937,19973,20510,20676,20717,20853,20862,20911,20929,20953,,,,,,,,,,,,,,,,,,,,,,,,,,74.754679258045,0.271384019837781,0.0694116269848947
10,17,19400,19406,19419,19504,19522,19526,19625,19653,19710,19725,19841,19865,19872,19873,19876,19877,19895,19938,19939,19957,19958,19959,19974,19984,19986,19988,19990,20002,20003,20004,20027,20105,20270,20323,20339,20517,20537,20624,20666,20687,20699,20741,20788,20805,20819,20861,20890,152.140726409466,0.552320768730974,0.200893764102828
11,1,19817,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.74748884567894,0.0405356405417576,0.0156115593445813
11,4,19816,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.78780097694952,0.040971686686242,0.00323731112192923
11,5,19359,19567,19585,19759,19767,19795,19796,19797,19807,19834,20494,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32.8040549548517,0.354833178888628,0.0530951343874848
11,6,19396,19833,19908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.0908041637696,0.141599922998296,0.0121551456653477
11,14,19683,19690,19806,20338,20736,20751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0863259405742,0.206451968091121,0.0372852232513115
11,17,19398,19815,19831,19835,19850,19870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.9327573393488,0.215607602793956,0.0263201494126752
