Area	Index	GV	MPM Vol-L	MPM Vol-R	MPM CoG-L			MPM CoG-R			MPM mean-L	MPM mean-R	PMap Vol-L	PMap Vol-R	PMap CoG-L			PMap CoG-R			PMap mean-L	PMap mean-R	
 Interposed Nucleus	7	111	345	294	-8.6	-60.4	-26.3	7.6	-60.0	-26.9	44.9	40.4	310	275	-8.5	-60.0	-26.2	7.4	-60.3	-26.4	21.1	17.5	
Amygdala (AStr)	60	193	171	124	-27.8	-11.0	-10.9	28.1	-10.7	-10.9	33.8	32.2	153	150	-27.2	-11.1	-10.7	28.0	-10.4	-10.5	15.0	13.7	
Amygdala (CM)  	21	133	347	222	-21.4	-10.1	-9.3	23.2	-9.3	-9.3	31.7	31.2	274	251	-22.4	-9.6	-10.9	23.8	-8.9	-10.4	15.2	14.7	

Amygdala (LB)  	66	202	1938	1699	-23.3	-6.6	-19.6	25.6	-5.1	-19.4	54.6	49.9	1387	1209	-23.4	-6.8	-18.8	25.1	-5.6	-18.1	30.4	27.4	
Amygdala (SF)  	33	151	292	387	-15.7	-9.5	-14.0	18.0	-8.0	-13.4	39.8	40.1	259	303	-17.2	-8.9	-14.9	19.4	-7.9	-13.8	18.7	21.5	
Area  FG3      	11	117	4724	3916	-30.1	-50.4	-10.2	31.2	-49.7	-11.6	56.0	57.8	4105	3305	-30.4	-49.7	-11.8	31.8	-48.2	-13.4	28.2	28.0	

Area 1         	4	106	4577	5654	-46.8	-32.4	60.7	48.5	-31.1	58.4	48.3	49.8	3944	4718	-40.6	-36.2	60.7	44.4	-31.3	56.2	21.2	22.5	
Area 2         	92	243	4210	5197	-40.7	-39.1	56.1	36.9	-40.6	56.8	48.3	52.4	4474	4994	-40.6	-38.3	55.8	37.5	-40.1	57.7	23.5	26.6	
Area 25        	50	178	590	430	-3.3	8.5	-7.6	4.7	7.7	-7.8	54.7	47.9	551	419	-3.8	9.1	-7.9	5.1	9.6	-7.0	25.0	21.1	

Area 33        	12	119	1698	1731	-4.7	9.4	18.6	4.7	12.0	17.2	48.2	46.2	1680	1655	-5.0	13.4	17.1	5.7	13.0	18.1	20.7	20.7	
Area 3a        	97	250	2298	1611	-32.7	-29.7	48.1	39.6	-24.1	40.5	41.7	47.0	2297	1751	-30.9	-32.6	50.0	34.4	-28.8	45.7	18.9	18.4	
Area 3b        	56	187	4499	5008	-45.0	-26.3	49.5	41.0	-28.8	50.6	45.4	38.2	4662	5145	-41.9	-28.4	51.1	37.3	-30.6	54.8	20.7	18.2	

Area 44        	94	246	7005	4798	-54.5	6.8	21.1	56.4	6.9	17.3	48.5	48.2	6201	4383	-51.1	5.4	23.6	54.0	6.5	20.7	22.6	22.9	
Area 45        	19	129	5591	8263	-54.5	21.6	19.0	55.6	21.0	16.3	54.3	52.4	4800	6317	-50.8	20.6	16.2	52.1	19.0	16.7	23.8	28.4	
Area 4a        	39	160	7505	8730	-16.2	-34.1	70.7	12.3	-36.4	72.2	48.1	47.3	6246	6185	-22.4	-33.0	65.8	21.9	-32.4	65.7	23.3	25.2	

Area 4p        	59	191	2571	2473	-36.7	-26.9	52.2	38.4	-25.4	49.7	46.1	46.5	2962	2739	-33.0	-30.4	54.6	35.2	-27.6	52.7	18.2	17.8	
Area 5Ci (SPL) 	55	185	948	1587	-13.2	-40.6	48.8	10.1	-41.2	51.6	51.4	48.4	1090	1429	-11.3	-43.0	51.8	9.1	-42.6	52.7	21.1	21.3	
Area 5L (SPL)  	38	159	5562	5893	-18.6	-52.3	71.3	13.1	-55.5	74.3	47.6	48.6	4170	4331	-19.6	-53.0	67.0	14.4	-54.0	70.6	24.0	26.9	

Area 5M (SPL)  	91	241	3859	2328	-6.9	-46.3	62.2	4.9	-49.4	63.4	45.8	45.4	3013	2403	-8.2	-48.0	62.9	8.2	-49.2	67.0	24.5	20.1	
